84.228.108.195 - - [30/Mar/2023:07:46:50 +0000] "GET /phpMyAdmin-latest-english/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:50 +0000] "GET /index.php?lang=en HTTP/1.1" 500 2539 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:50 +0000] "GET /MyAdmin/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:50 +0000] "GET /admin/sysadmin/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:50 +0000] "GET /sql/sqlweb/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:51 +0000] "GET /phpmyadmin_/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:51 +0000] "GET /_phpMyAdmin/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:51 +0000] "GET /phpmyadmin2011/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:51 +0000] "GET /phpMyAdmin3/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:51 +0000] "GET /phpMyAdmin/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:51 +0000] "GET /phpmyadmin2017/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
84.228.108.195 - - [30/Mar/2023:07:46:52 +0000] "GET /phpmyadmin2015/index.php?lang=en HTTP/1.1" 404 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
